bassetId|title|where|onlineID
530|Squire Arden|ht|uiuo.ark+=13960=t3rv14r6v
531|The Three Brothers|ia|threebrothers01olip
531|The Three Brothers|ht|uc1.l0076777192
532|Once and Again: A Novel|ia|onceagainnovel02jenk
532|Once and Again: A Novel|ht|nyp.33433074867163
535|The Ordeal for Wives|ht|uc1.b248748
539|Dorothy Fox|ht|uc2.ark+=13960=t5db83h0b
544|Ralf Skirlaugh, the Lincolnshire Squire|ia|ralfskirlaughlin03peac
550|Plain John Orpington|ia|plainjohnorpingt02harw
550|Plain John Orpington|ht|uiuo.ark+=13960=t66406j9p
556|Mary Lyndsay|ia|marylyndsay01pons
556|Mary Lyndsay|ht|uiuo.ark+=13960=t52f8b94d
557|Nora|ia|nora01pons
557|Nora|ht|uiuo.ark+=13960=t5bc4kg1c
559|Violet Osborne|ia|violetosborne03pons
559|Violet Osborne|ht|uiuo.ark+=13960=t1bk1zz7x
560|Poor Humanity|gb|49UBAAAAQAAJ
561|How to Manage It: A Novel|gb|zA0CAAAAQAAJ
562|A Prodigy: A Tale of Music|ia|prodigytaleofmus01chor
562|A Prodigy: A Tale of Music|ht|uiuo.ark+=13960=t2b85k82p
564|Puck: His Vicissitudes, Adventures, etc|ia|puckhisvicissitu01ouid
564|Puck: His Vicissitudes, Adventures, etc|ht|nyp.33433074964069
567|The Queen of the County|ht|nyp.33433075753198
570|Theresa|gb|674XAAAAYAAJ
572|Hearts and Diamonds: or, Was it an Error? A Novel|gb|3-4BAAAAQAAJ
573|A Woman's Trials|ia|womanstrials02omea
573|A Woman's Trials|ht|uiuo.ark+=13960=t3708nk66
577|A Terrible Temptation: A Story of the Day|ia|terribletemptati02read
577|A Terrible Temptation: A Story of the Day|pg|7895
577|A Terrible Temptation: A Story of the Day|ht|nyp.33433075900732
578|Griffith Gaunt: or, Jealousy|ht|uc2.ark+=13960=t09w0f64j
579|Hard Cash|pg|3067
579|Hard Cash|ht|uc2.ark+=13960=t54f1qk8f
580|Put Yourself in His Place|ia|putyourselfinhis03read
580|Put Yourself in His Place|pg|2497
580|Put Yourself in His Place|ht|nyp.33433075872857
581|Foul Play|ht|uc1.$b441070
582|Red as a Rose is She|pg|45178
582|Red as a Rose is She|ht|nyp.33433034410120
585|The Giraffe Hunters|ia|giraffehunters01reid
585|The Giraffe Hunters|pg|27911
585|The Giraffe Hunters|ht|njp.32101041424217
586|The White Gauntlet|pg|35702
586|The White Gauntlet|ht|inu.30000010354136
589|So Very Human: A Tale of the Present Day|ia|soveryhumantaleo01rich
589|So Very Human: A Tale of the Present Day|ht|uiuo.ark+=13960=t0000rd46
591|Austin Friars: A Novel|ia|austinfriarsnove02ridd
