id,when,sex,vols,counter
B716,T2,F,3,1
B717,T2,F,3,1
B718,T2,M,3,1
B719,T2,F,3,1
B720,T2,F,3,1
B721,T2,M,3,1
B722,T2,M,3,1
B723,T2,U,3,1
B724,T2,F,3,1
B725,T2,U,3,1
B726,T2,M,3,1
B727,T2,M,3,1
B728,T2,M,3,1
B729,T2,F,3,1
B730,T2,F,3,1
B731,T2,M,3,1
B732,T2,M,3,1
B733,T2,U,3,1
B734,T2,U,3,1
B735,T2,F,3,1
B736,T2,M,3,1
B737,T2,F,3,1
B738,T2,F,3,1
B739,T2,F,3,1
B740,T2,M,3,1
B741,T2,M,3,1
B742,T2,F,3,1
B743,T2,M,3,1
B744,T2,F,3,1
B745,T2,F,3,1
B746,T2,M,3,1
B747,T2,M,3,1
B748,T2,M,3,1
B749,T2,M,3,1
B750,T2,M,3,1
B751,T2,M,3,1
B752,T2,M,3,1
B753,T2,F,3,1
B754,T2,U,3,1
B755,T2,F,3,1
B756,T2,F,3,1
B757,T2,F,3,1
B758,T2,F,3,1
B759,T2,F,3,1
B760,T2,F,3,1
B761,T2,F,3,1
B762,T2,F,3,1
B763,T2,F,3,1
B764,T2,F,3,1
B765,T2,F,3,1
B766,T2,F,3,1
B767,T2,F,3,1
B768,T2,F,3,1
B769,T2,F,3,1
B770,T2,F,3,1
B771,T2,F,3,1
B772,T2,F,3,1
B773,T2,F,3,1
B774,T2,F,3,1
B775,T2,F,3,1
B776,T2,F,3,1
B777,T2,M,3,1
B778,T2,M,3,1
B779,T2,U,3,1
B780,T2,M,3,1
B781,T2,M,3,1
B782,T2,M,3,1
B783,T2,M,3,1
B784,T2,M,3,1
B785,T2,M,3,1
B786,T2,M,3,1
B787,T2,M,3,1
B788,T2,M,3,1
B789,T2,M,3,1
B790,T2,F,3,1
B791,T2,F,3,1
B792,T1,F,3,1
B793,T3,U,3,1
B794,T3,U,2,1
B795,T3,U,3,1
B796,T3,U,3,1
B797,T3,U,3,1
B798,T3,U,3,1
B799,T3,U,3,1
B800,T3,U,3,1
B801,T3,F,3,1
B802,T3,M,3,1
B803,T3,U,3,1
B804,T3,F,3,1
B805,T3,F,3,1
B806,T3,M,3,1
B807,T3,U,3,1
B808,T3,U,3,1
B810,T3,U,3,1
B811,T3,U,3,1
B812,T3,M,3,1
B813,T3,M,3,1
B814,T3,F,3,1
B815,T3,F,3,1
B816,T3,F,3,1
B817,T3,F,3,1
B818,T3,F,3,1
B819,T3,F,3,1
B820,T3,F,3,1
B821,T3,F,3,1
B822,T3,F,3,1
B823,T3,F,3,1
B824,T3,M,3,1
B825,T3,M,3,1
B826,T3,M,3,1
B827,T3,M,3,1
B828,T3,M,3,1
B829,T3,M,3,1
B830,T3,M,3,1
B831,T3,M,3,1
B832,T3,M,3,1
B833,T3,M,3,1
B834,T3,M,3,1
B835,T3,M,3,1
B836,T3,F,3,1
B837,T3,F,3,1
B838,T3,F,3,1
B839,T3,F,3,1
B840,T3,F,3,1
B841,T3,F,3,1
B842,T3,F,3,1
B843,T3,F,3,1
B844,T3,F,3,1
B845,T3,F,3,1
B846,T3,F,3,1
B847,T3,F,3,1
B848,T3,F,3,1
B849,T3,F,3,1
B850,T3,F,3,1
B851,T3,F,3,1
B852,T3,F,3,1
B853,T3,F,3,1
B854,T3,F,3,1
B855,T3,F,3,1
B856,T3,F,3,1
B857,T3,F,3,1
B858,T3,F,3,1
B859,T3,F,3,1
B860,T3,F,3,1
B861,T3,F,3,1
B862,T3,F,3,1
B863,T3,F,3,1
B864,T3,F,3,1
B865,T3,F,3,1
B866,T3,F,3,1
B867,T3,F,3,1
B868,T3,F,3,1
B869,T3,F,3,1
B870,T3,F,3,1
B871,T3,F,3,1
B872,T3,F,3,1
B873,T3,F,3,1
B874,T3,F,3,1
B875,T3,F,3,1
B876,T3,F,3,1
B877,T3,M,3,1
B878,T3,F,3,1
B879,T3,F,3,1
B880,T3,F,3,1
B881,T3,F,3,1
B882,T3,F,3,1
B883,T3,F,3,1
B884,T3,F,3,1
B885,T3,M,3,1
B886,T3,M,3,1
B887,T3,M,3,1
B888,T3,M,3,1
B889,T3,M,3,1
B890,T3,M,3,1
B891,T3,M,3,1
B892,T3,M,3,1
B893,T3,F,3,1
B894,T3,M,3,1
B895,T3,M,3,1
B896,T3,M,3,1
B897,T3,M,3,1
B898,T3,M,3,1
B899,T3,M,3,1
B900,T3,F,3,1
B901,T3,F,3,1
B902,T3,F,3,1
B903,T3,M,3,1
B904,T3,M,3,1
B905,T3,M,3,1
B906,T3,M,3,1
B907,T3,M,3,1
B908,T3,M,3,1
B909,T3,M,3,1
B910,T3,M,3,1
B911,T3,M,2,1
B912,T3,M,3,1
B913,T3,F,3,1
B914,T3,F,3,1
B915,T3,F,3,1
B916,T3,F,3,1
B917,T3,F,3,1
B918,T3,F,3,1
B919,T3,M,3,1
B920,T3,M,3,1
B921,T3,M,3,1
B922,T3,M,3,1
B923,T3,M,3,1
B924,T3,F,3,1
B925,T3,F,3,1
B926,T3,F,3,1
B927,T3,F,3,1
B928,T3,F,3,1
B929,T3,M,3,1
B930,T3,M,3,1
B931,T3,M,3,1
B932,T3,M,3,1
B933,T3,M,3,1
B934,T3,M,3,1
B935,T3,M,3,1
B936,T3,M,3,1
B937,T3,M,3,1
B938,T3,M,3,1
B939,T3,M,3,1
B940,T3,M,3,1
B941,T3,M,3,1
B942,T3,F,3,1
B943,T3,F,3,1
B944,T3,F,3,1
B945,T3,F,3,1
B946,T3,F,3,1
B947,T3,M,3,1
B948,T3,M,3,1
B949,T3,F,3,1
B950,T3,M,3,1
B951,T3,M,3,1
B952,T3,M,3,1
B953,T3,M,3,1
B954,T3,M,3,1
B955,T3,M,3,1
B956,T3,M,3,1
B957,T3,M,3,1
B958,T3,M,3,1
B959,T3,M,3,1
B960,T3,M,3,1
B961,T3,M,3,1
B962,T3,M,3,1
B963,T3,M,3,1
B964,T3,M,3,1
B965,T3,M,3,1
B966,T3,M,3,1
B967,T3,M,3,1
B968,T3,F,3,1
B969,T3,F,3,1
B970,T3,F,3,1
B971,T3,M,3,1
B972,T3,M,3,1
B973,T3,M,3,1
B974,T3,M,3,1
B975,T3,M,3,1
B976,T3,M,3,1
B977,T3,M,3,1
B978,T3,F,3,1
B979,T3,F,3,1
B980,T3,F,3,1
B981,T3,F,1,1
B982,T3,M,3,1
B983,T3,F,3,1
B984,T3,F,3,1
B985,T3,F,3,1
B986,T3,F,3,1
B987,T3,F,3,1
B988,T3,F,3,1
B989,T3,F,3,1
B990,T3,M,3,1
B991,T3,M,3,1
B992,T3,M,3,1
B993,T3,M,3,1
B994,T3,M,3,1
B995,T3,M,3,1
B996,T3,M,3,1
B997,T3,M,3,1
B998,T3,M,3,1
B999,T3,F,3,1
B1000,T3,F,3,1
B1001,T3,F,3,1
B1002,T3,F,3,1
B1003,T3,F,3,1
B1004,T3,F,3,1
B1005,T3,F,3,1
B1006,T3,F,3,1
B1007,T3,F,3,1
B1008,T3,F,3,1
B1009,T3,F,3,1
B1010,T3,F,3,1
B1011,T3,F,3,1
B1012,T3,F,3,1
B1013,T3,F,3,1
B1014,T3,F,3,1
B1015,T3,F,3,1
B1016,T3,M,3,1
B1017,T3,F,3,1
B1018,T3,F,3,1
B1019,T3,F,3,1
B1020,T3,F,3,1
B1021,T3,F,3,1
B1022,T3,F,3,1
B1023,T3,F,3,1
B1024,T3,F,3,1
B1025,T3,F,3,1
B1026,T3,F,3,1
B1027,T3,F,3,1
B1028,T3,F,3,1
B1029,T3,F,3,1
B1030,T3,F,3,1
B1031,T3,F,3,1
B1032,T3,M,3,1
B1033,T3,M,3,1
B1034,T3,F,3,1
B1035,T3,F,3,1
B1036,T3,F,3,1
B1037,T3,F,3,1
B1038,T3,F,3,1
B1039,T3,F,3,1
B1040,T3,F,3,1
B1041,T3,F,3,1
B1042,T3,F,3,1
B1043,T3,F,3,1
B1044,T3,F,3,1
B1045,T3,F,3,1
B1046,T3,F,3,1
B1047,T3,F,3,1
B1048,T3,M,3,1
B1049,T3,M,3,1
B1050,T3,U,3,1
B1051,T3,M,3,1
B1052,T3,F,3,1
B1053,T3,F,3,1
B1054,T3,F,3,1
B1055,T3,F,3,1
B1056,T3,F,3,1
B1057,T3,F,3,1
B1058,T3,F,3,1
B1059,T3,M,3,1
B1060,T3,M,3,1
B1061,T3,F,3,1
B1062,T3,F,3,1
B1063,T3,M,3,1
B1064,T3,M,3,1
B1065,T3,M,3,1
B1066,T3,M,3,1
B1067,T3,M,3,1
B1068,T3,M,3,1
B1069,T3,M,3,1
B1070,T3,U,3,1
B1071,T3,M,3,1
B1072,T3,F,3,1
B1073,T3,F,3,1
B1074,T3,M,3,1
B1076,T3,M,3,1
B1077,T3,M,3,1
B1078,T3,M,3,1
B1079,T3,M,3,1
B1080,T3,M,3,1
B1081,T3,M,3,1
B1082,T3,M,3,1
B1083,T3,M,3,1
B1084,T3,M,3,1
B1085,T3,M,3,1
B1086,T3,M,3,1
B1087,T3,M,3,1
B1088,T3,F,3,1
B1089,T3,F,3,1
B1090,T3,M,3,1
B1091,T3,F,3,1
B1092,T3,F,3,1
B1093,T3,M,3,1
B1094,T3,F,3,1
B1095,T3,M,3,1
B1096,T3,M,3,1
B1097,T3,M,3,1
B1098,T3,M,3,1
B1099,T3,M,3,1
B1100,T3,M,3,1
B1101,T3,M,3,1
B1102,T3,M,3,1
B1103,T3,M,3,1
B1104,T3,M,3,1
B1105,T3,F,3,1
B1106,T3,F,3,1
B1107,T3,M,3,1
B1108,T3,F,3,1
B1109,T3,F,3,1
B1110,T3,F,3,1
B1111,T3,F,3,1
B1112,T3,F,3,1
B1113,T3,F,3,1
B1114,T3,M,3,1
B1115,T3,F,3,1
B1116,T3,F,3,1
B1117,T3,F,3,1
B1118,T3,F,3,1
B1119,T3,F,3,1
B1120,T3,F,3,1
B1121,T3,F,3,1
B1122,T3,F,3,1
B1123,T3,F,3,1
B1124,T3,F,3,1
B1125,T3,M,3,1
B1126,T3,M,3,1
B1127,T3,M,3,1
B1128,T3,M,3,1
B1129,T3,M,3,1
B1130,T3,F,3,1
B1131,T3,M,3,1
B1132,T3,M,3,1
B1133,T3,F,3,1
B1134,T3,F,3,1
B1135,T3,M,3,1
B1136,T3,M,3,1
B1137,T3,M,3,1
B1138,T3,F,3,1
B1139,T3,M,3,1
B1140,T3,M,3,1
B1141,T3,M,3,1
B1142,T3,M,3,1
B1143,T3,M,3,1
B1144,T3,M,3,1
B1145,T3,M,3,1
B1146,T3,M,3,1
B1147,T3,F,3,1
B1148,T3,F,3,1
B1149,T3,M,3,1
B1150,T3,F,3,1
B1151,T3,F,3,1
B1152,T3,F,3,1
B1153,T3,F,3,1
B1154,T3,F,3,1
B1155,T3,M,3,1
B1156,T3,M,3,1
